reference_number,determination_type,url,date
HU/07985/2015,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-07985-2015,27 Jun 2017
AA/07495/2012,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-07495-2012,2 May 2014
HU/03614/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-03614-2018,31 Jan 2019
UI-2023-005284,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-005284,2 Oct 2024
HU/06850/2015,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-06850-2015,24 Mar 2017
OA/08530/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-08530-2013,16 Apr 2015
[2004] UKIAT 150,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2004-ukiat-150,20 May 2004
PA/11934/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-11934-2019,5 Mar 2021
HU/26105/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-26105-2016,25 Oct 2018
PA/03471/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-03471-2019,14 Apr 2020
IA/20424/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-20424-2014,19 Nov 2014
UI-2024-001216,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-001216,29 May 2024
[2013] UKUT 179,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2013-ukut-179,18 Apr 2013
DA/00297/2020,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00297-2020,7 Jul 2022
[2005] UKAIT 173,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2005-ukait-173,8 Dec 2005
DA/00465/2012,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00465-2012,18 Jul 2014
DA/00568/2018,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00568-2018,7 Nov 2019
IA/05449/2013 & ors,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-05449-2013-ors,26 Sep 2013
IA/24389/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-24389-2014,17 Jun 2016
HU/09884/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-09884-2019,14 Dec 2020
OA/01432/2015,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-01432-2015,23 May 2017
OA114272012,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa114272012,22 Jul 2013
IA/28381/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-28381-2013,15 May 2014
UI-2024-000567,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-000567,25 Jun 2024
EA/08947/2017,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-08947-2017,16 Oct 2018
OA/21245/2012,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-21245-2012,16 Jul 2014
UI-2023-000231,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-000231,5 Oct 2023
PA/08825/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-08825-2018,15 Nov 2018
EA/06563/2020 & EA/06570/2020,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-06563-2020-ea-06570-2020,10 Oct 2022
IA/29817/2015 & Ors.,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-29817-2015-ors,5 Sep 2016
IA/30976/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-30976-2014,12 May 2016
HU187982019 & HU198192019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu187982019-hu198192019,22 Aug 2022
[2002] UKIAT 1518,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2002-ukiat-1518,14 May 2002
IA/11468/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-11468-2013,12 Sep 2013
PA/01947/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-01947-2017,13 Feb 2018
HU/11868/2016 & HU/11871/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-11868-2016-hu-11871-2016,2 Aug 2018
IA/39879/2014 & Ors.,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-39879-2014-ors,10 Mar 2016
PA/00925/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-00925-2016,6 Jul 2017
PA/09309/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-09309-2018,9 Jan 2019
PA/01627/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-01627-2018,7 May 2019
PA/13713/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-13713-2018,1 Apr 2019
PA/08671/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-08671-2019,7 Sep 2020
PA/03615/2015,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-03615-2015,12 Jun 2017
AA/06220/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-06220-2014,13 Jan 2015
HU/03044/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-03044-2019,3 Mar 2021
EA/06516/2018,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-06516-2018,10 Sep 2019
PA/02826/2015,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-02826-2015,11 Aug 2016
IA/44128/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-44128-2014,19 Feb 2016
PA/02742/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-02742-2018,20 May 2019
[2002] UKIAT 1547,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2002-ukiat-1547,16 May 2002
PA/01290/2020,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-01290-2020,17 Nov 2020
HU/20744/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-20744-2019,7 Oct 2020
[2021] UKUT 34,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2021-ukut-34,27 Jan 2021
OA/05829/2014 & OA/05830/2014,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-05829-2014-oa-05830-2014,11 Nov 2015
AA/08450/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-08450-2015,12 May 2016
[2013] UKUT 464,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2013-ukut-464,30 Aug 2013
HU/22801/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-22801-2018,17 Mar 2020
PA/00597/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-00597-2018,14 Jun 2018
IA/16147/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-16147-2014,4 Jan 2016
HU/23623/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-23623-2018,11 Oct 2019
JR-2024-LON-000850,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/jr-2024-lon-000850,12 Mar 2025
DA/00082/2018,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00082-2018,12 Nov 2018
PA/11454/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-11454-2019,23 Jun 2020
IA/26512/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-26512-2014,25 Mar 2015
IA/41372/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-41372-2014,6 Apr 2016
PA/11711/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-11711-2017,11 Jan 2019
EA/14060/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-14060-2016,16 Jan 2019
[2006] UKAIT 85,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2006-ukait-85,26 Oct 2006
IA/26608/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-26608-2014,25 May 2016
UI-2023-000483,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-000483,4 Dec 2023
OA/09628/2014,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-09628-2014,27 Oct 2015
IA/43477/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-43477-2014,14 Dec 2015
IA/15506/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-15506-2015,10 Mar 2017
IA/48551/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-48551-2014,9 Feb 2016
UI-2024-001227,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-001227,3 Jul 2024
EA/07365/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-07365-2016,16 May 2018
[2003] UKIAT 78,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2003-ukiat-78,19 Aug 2003
HU/11419/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-11419-2016,28 Aug 2018
HU/21913/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-21913-2016,26 Apr 2018
IA/09877/2015 & IA/11477/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-09877-2015-ia-11477-2015,27 Apr 2017
[2020] UKUT 82,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2020-ukut-82,5 Feb 2020
PA/10394/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-10394-2018,3 Jul 2019
PA/01013/2015 & Ors.,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-01013-2015-ors,25 Oct 2016
HU/14320/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-14320-2018,19 Jan 2021
AA/01875/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-01875-2015,23 Sep 2016
VA/18640/2013,VA,https://tribunalsdecisions.service.gov.uk/utiac/va-18640-2013,20 Apr 2015
IA/34723/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-34723-2015,4 Jan 2018
IA/33261/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-33261-2015,23 Oct 2017
IA/42072/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-42072-2013,7 Aug 2014
HU/10151/2017,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-10151-2017,15 Apr 2019
IA/40006/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-40006-2014,15 Jan 2016
HU/09363/2015,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-09363-2015,9 Oct 2017
IA/34018/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-34018-2013,28 Aug 2014
[2004] UKIAT 76,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2004-ukiat-76,13 Feb 2004
[2021] UKUT 283,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2021-ukut-283,21 Sep 2021
UI-2022-002833,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2022-002833,20 Aug 2024
OA/08223/2014,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-08223-2014,20 Apr 2015
EA/02473/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-02473-2016,6 Oct 2017
HU/05788/2018 & Others,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-05788-2018-others,8 Mar 2019
UI-2023-003474,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-003474,7 Nov 2023
EA/02616/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-02616-2016,6 Nov 2018
UI-2022-006503,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2022-006503,8 Dec 2023
IA/32062/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-32062-2014,14 Aug 2015
IA/52728/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-52728-2013,27 Jan 2015
IA/00456/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-00456-2014,14 Oct 2014
IA/15014/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-15014-2013,3 Jun 2014
PA/13251/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-13251-2016,1 Aug 2017
HU/07755/2017,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-07755-2017,30 Oct 2018
PA/10770/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-10770-2019,14 Jul 2022
IA/48933/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-48933-2014,15 Apr 2016
IA/08518/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-08518-2015,26 May 2016
EA/03337/2017,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-03337-2017,22 Jan 2018
PA/00034/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-00034-2017,1 Sep 2017
IA/34360/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-34360-2015,6 Oct 2017
IA/02034/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-02034-2014,21 Aug 2014
DA/00871/2012 & ors,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00871-2012-ors,22 Aug 2013
EA/00451/2017 & Ors.,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-00451-2017-ors,28 Feb 2019
IA/18488/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-18488-2014,22 Dec 2014
HU/06922/2019 & Ors.,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-06922-2019-ors,28 May 2021
IA/17013/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-17013-2015,4 Sep 2017
IA/28354/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-28354-2014,23 Sep 2015
OA/11238/2013 & OA/11254/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-11238-2013-oa-11254-2013,13 May 2015
AA/10840/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-10840-2015,5 Jan 2017
PA/09249/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-09249-2018,11 Apr 2019
UI-2023-005205,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-005205,17 May 2024
IA/09937/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-09937-2014,10 Feb 2016
IA/01553/2015 & IA/01555/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-01553-2015-ia-01555-2015,1 Mar 2016
PA/09287/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-09287-2017,21 Dec 2018
OA/00927/2015,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-00927-2015,16 May 2016
OA/07603/2012,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-07603-2012,17 Dec 2013
EA/02264/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-02264-2016,18 Nov 2016
PA/00240/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-00240-2019,21 Nov 2019
PA/00366/2020,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-00366-2020,22 Jan 2021
IA/22910/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-22910-2015,13 Jan 2017
IA/16255/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-16255-2014,30 Jan 2015
[2004] UKIAT 2,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2004-ukiat-2,13 Jan 2004
IA/37290/2014 & IA/37320/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-37290-2014-ia-37320-2014,22 Dec 2015
UI-2024-002976,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-002976,27 Sep 2024
IA/00769/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-00769-2013,18 Jun 2013
EA/03758/2021,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-03758-2021,5 Oct 2022
PA/08415/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-08415-2016,18 Dec 2017
HU/12833/2017,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-12833-2017,15 Apr 2019
IA/10942/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-10942-2014,25 May 2016
UI-2024-004996,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-004996,27 Jan 2025
EA/05238/2018,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-05238-2018,30 May 2019
IA/42659/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-42659-2014,4 Jan 2016
UI-2022-004157,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2022-004157,25 Sep 2023
IA/11963/2015 & IA/11959/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-11963-2015-ia-11959-2015,18 Jul 2016
HU/10831/2017,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-10831-2017,13 Dec 2018
HU/22734/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-22734-2016,15 Jan 2019
PA/06746/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-06746-2017,23 Feb 2018
AA/00044/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-00044-2014,12 May 2014
PA/13118/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-13118-2018,15 May 2019
UI-2025-000093,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2025-000093,28 Mar 2025
IA/23461/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-23461-2015,8 Jul 2016
PA/02622/2020,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-02622-2020,21 Apr 2021
PA/02224/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-02224-2017,1 May 2018
EA/01626/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-01626-2016,27 Jul 2018
UI-2023-003322,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-003322,23 Oct 2023
IA/10965/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-10965-2014,11 Feb 2015
AA/06666/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-06666-2015,15 Mar 2016
HU/07918/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-07918-2018,14 Dec 2020
PA/09564/2016 & PA/02795/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-09564-2016-pa-02795-2017,6 Mar 2018
UI-2024-001147,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-001147,13 Feb 2025
PA/12616/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-12616-2018,16 Sep 2019
UI-2022-003774,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2022-003774,9 Sep 2024
OA/12550/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-12550-2013,27 Jun 2014
UI-2024-002158,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-002158,13 Dec 2024
OA/06273/2015,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-06273-2015,31 May 2017
IA/26532/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-26532-2014,14 Aug 2017
UI-2024-004062,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-004062,17 Feb 2025
IA/31754/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-31754-2015,12 Sep 2017
PA/11779/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-11779-2017,27 Sep 2018
AA/06291/2013,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-06291-2013,4 Dec 2013
IA/29515/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-29515-2015,13 Jan 2017
DA/00095/2017,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00095-2017,28 Jun 2018
IA/09297/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-09297-2013,12 Dec 2013
OA/18309/2012 & OA/18310/2012,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-18309-2012-oa-18310-2012,4 Apr 2014
HU/04219/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-04219-2016,7 Nov 2017
PA/10628/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-10628-2016,27 Oct 2017
IA/17104/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-17104-2015,29 Nov 2016
PA/05623/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-05623-2016,10 May 2017
OA/02878/2014,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-02878-2014,15 May 2015
OA/11401/2014 & Ors.,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-11401-2014-ors,28 Jul 2016
OA/02627/2014 & ors,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-02627-2014-ors,25 Jun 2015
PA/08240/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-08240-2018,7 Mar 2019
IA/16952/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-16952-2013,14 May 2014
IA/26903/2014 & Ors.,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-26903-2014-ors,26 Feb 2016
PA/11076/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-11076-2017,20 Aug 2019
IA/00770/2020,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-00770-2020,5 Oct 2022
UI-2023-001880,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-001880,22 Mar 2024
PA/01432/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-01432-2016,23 Nov 2016
HU/20081/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-20081-2019,4 Nov 2020
IA/44629/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-44629-2013,7 Oct 2014
PA/03190/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-03190-2018,11 Sep 2018
IA/11302/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-11302-2015,8 Apr 2016
HU/17096/2017,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-17096-2017,28 Feb 2019
RP/00182/2018,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/rp-00182-2018,3 Feb 2020
IA/20947/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-20947-2015,8 Feb 2017
UI-2022-006305 & UI-2022-006306,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2022-006305-ui-2022-006306,12 Oct 2023
HU/24003/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-24003-2018,27 Feb 2020
PA/07980/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-07980-2017,18 Feb 2019
IA/06662/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-06662-2014,14 Aug 2014
EA/00758/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-00758-2016,27 Apr 2018
PA/05913/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-05913-2017,6 Mar 2018
PA/09932/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-09932-2019,26 Mar 2023
IA/52788/2013 & ors,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-52788-2013-ors,28 Aug 2014
OA/19632/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-19632-2013,18 Feb 2015
VA/18641/2013,VA,https://tribunalsdecisions.service.gov.uk/utiac/va-18641-2013,5 Nov 2014
EA/06255/2017 & EA/06265/2017,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-06255-2017-ea-06265-2017,25 Jun 2018
EA/05918/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-05918-2016,3 May 2018
HU/01509/2019 & HU/01513/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-01509-2019-hu-01513-2019,16 Jan 2020
AA/10775/2013,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-10775-2013,25 Apr 2014
HU/15841/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-15841-2019,22 Oct 2020
"VA/35508/2012, VA/35507/2012, VA/35510/2012",VA,https://tribunalsdecisions.service.gov.uk/utiac/va-35508-2012-va-35507-2012-va-35510-2012,18 Jun 2013
IA/28344/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-28344-2013,20 Oct 2014
[2024] UKUT 00234,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2024-ukut-00234,4 Jul 2024
EA/08113/2017,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-08113-2017,2 Apr 2019
IA274662012,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia274662012,19 Jul 2013
PA/08963/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-08963-2017,30 Apr 2018
AA/11186/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-11186-2014,16 Oct 2015
PA/06466/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-06466-2017,21 Mar 2018
OA/06742/2015,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-06742-2015,11 Jul 2017
AA/08914/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-08914-2014,4 Dec 2015
IA/37059/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-37059-2013,2 Jun 2014
PA/09402/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-09402-2019,2 Jul 2020
IA/39746/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-39746-2013,12 Aug 2014
[2015] UKUT 326,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2015-ukut-326,21 May 2015
JR/05305/2018,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/jr-05305-2018,5 Apr 2019
IA/00872/2014 & IA/00878/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-00872-2014-ia-00878-2014,30 Jun 2014
AA/08072/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-08072-2014,1 Dec 2016
"VA/28507/2012, VA/28512/2012",VA,https://tribunalsdecisions.service.gov.uk/utiac/va-28507-2012-va-28512-2012,24 Jun 2013
HU/14084/2015,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-14084-2015,8 Sep 2017
IA/02031/2014 & IA/02036/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-02031-2014-ia-02036-2014,29 Aug 2014
PA/12437/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-12437-2018,5 Jul 2019
UI-2022-002668,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2022-002668,12 Jun 2023
HU/12085/2017,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-12085-2017,9 Nov 2018
UI-2024-001295,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-001295,29 May 2024
PA/10103/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-10103-2018,24 Jul 2019
IA/41095/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-41095-2014,27 Aug 2015
PA/10883/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-10883-2016,20 Apr 2018
OA/12704/2014,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-12704-2014,26 Apr 2016
PA/00533/2015,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-00533-2015,31 Aug 2016
IA/23611/2013 & IA/23606/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-23611-2013-ia-23606-2013,14 Feb 2014
[2003] UKIAT 7478,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2003-ukiat-7478,28 Mar 2003
PA/07585/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-07585-2016,16 May 2019
PA/07514/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-07514-2018,9 Mar 2020
AA/09512/2014 & AA/08043/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-09512-2014-aa-08043-2015,2 Jun 2017
