reference_number,determination_type,url,date
IA/00221/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-00221-2014,30 Jun 2015
UI-2023-002154,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-002154,15 Aug 2024
EA/05908/2019,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-05908-2019,15 Dec 2021
PA/01372/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-01372-2017,15 Mar 2018
OA/03066 /2015,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-03066-2015,4 Apr 2017
VA/00354/2015,VA,https://tribunalsdecisions.service.gov.uk/utiac/va-00354-2015,18 Apr 2017
IA/39859/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-39859-2014,1 Feb 2016
UI-2024-005299,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-005299,18 Feb 2025
IA/44712/2014 & Ors.,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-44712-2014-ors,17 Feb 2016
IA/27662/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-27662-2013,3 Feb 2015
EA/13646/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-13646-2016,4 Oct 2018
OA/16264/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-16264-2013,25 Sep 2014
UI-2024-005985,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-005985,9 Apr 2025
AA/11772/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-11772-2014,15 Jul 2015
HU/05675/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-05675-2016,19 Jul 2018
AA/09553/2014 & AA/09552/2014,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-09553-2014-aa-09552-2014-75e310b9-75dc-4cf1-8a64-2fa9c738dd75,9 Aug 2016
PA/04923/2018,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-04923-2018,20 Jul 2020
UI-2023-003319,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2023-003319,20 Oct 2023
PA/08023/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-08023-2017,20 Sep 2018
PA/03703/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-03703-2016,3 Nov 2017
HU/15896/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-15896-2018,9 May 2019
PA/03269/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-03269-2016,6 Jul 2017
PA/13194/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-13194-2016,26 Apr 2018
HU/07772/2019 & HU/07775/2019,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-07772-2019-hu-07775-2019,17 Dec 2019
PA/08151/2017,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-08151-2017,11 May 2018
UI-2022-006729,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2022-006729,10 Oct 2024
VA/09169/2013 & VA/09173/2013,VA,https://tribunalsdecisions.service.gov.uk/utiac/va-09169-2013-va-09173-2013,14 Nov 2014
[2007] UKAIT 81,UKIAT,https://tribunalsdecisions.service.gov.uk/utiac/2007-ukait-81,14 Aug 2007
EA/00632/2016,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-00632-2016,2 Nov 2017
[2011] UKUT 343,UKUT,https://tribunalsdecisions.service.gov.uk/utiac/2011-ukut-343,26 Aug 2011
DA/00389/2013,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00389-2013,7 Oct 2013
IA/47388/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-47388-2013,8 Sep 2014
EA/05334/2018,EA,https://tribunalsdecisions.service.gov.uk/utiac/ea-05334-2018,20 Jun 2019
LR/00018/2022,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/lr-00018-2022,26 Mar 2023
OA/14299/2014 & Ors.,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-14299-2014-ors,27 Feb 2017
JR/04719/2019,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/jr-04719-2019,2 Mar 2020
HU/07510/2015,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-07510-2015,21 Jun 2017
IA/53776/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-53776-2013,16 Sep 2014
OA/11691/2013,OA,https://tribunalsdecisions.service.gov.uk/utiac/oa-11691-2013,13 Feb 2015
HU/20395/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-20395-2018,2 Jul 2019
HU/14542/2016,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-14542-2016,19 Jan 2018
UI-2024-003988,Unknown,https://tribunalsdecisions.service.gov.uk/utiac/ui-2024-003988,26 Feb 2025
IA/38489/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-38489-2014,23 Jul 2015
DA/00496/2016,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00496-2016,7 Mar 2018
PA/00128/2019,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-00128-2019,17 Nov 2021
IA/29844/2013,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-29844-2013,28 Jul 2014
IA/39959/2014,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-39959-2014,3 Aug 2015
HU/18475/2018,HU,https://tribunalsdecisions.service.gov.uk/utiac/hu-18475-2018,22 Oct 2019
IA/10978/2015,IA,https://tribunalsdecisions.service.gov.uk/utiac/ia-10978-2015,1 Jul 2016
AA/00874/2015,AA,https://tribunalsdecisions.service.gov.uk/utiac/aa-00874-2015,20 Dec 2016
PA/09118/2016,PA,https://tribunalsdecisions.service.gov.uk/utiac/pa-09118-2016,14 Dec 2017
DA/00564/2016,DA,https://tribunalsdecisions.service.gov.uk/utiac/da-00564-2016,29 Mar 2017
