Type,Count,Percentage
IA,9922,23.413091698522816
PA,7800,18.40577658218887
HU,6494,15.323988862145452
Unknown,5156,12.16669026381613
AA,3973,9.375147482184152
EA,2326,5.488696965406579
OA,2214,5.224408891405918
DA,1672,3.945443390438435
UKIAT,1301,3.0699891453112462
UKUT,937,2.2110529048090988
VA,583,1.3757138137712965
